34,7,0,7,16,0,11,
30,3,0,12,18,0,0,
29,5,0,4,22,2,1,
32,7,0,11,20,1,0,
32,4,0,1,29,1,1,
35,5,0,7,27,0,1,
37,4,0,1,28,0,8,
32,3,0,28,4,0,0,
32,3,0,1,23,0,8,
34,2,0,0,29,0,5,
35,9,0,4,22,4,5,
34,2,0,0,25,0,9,
36,5,0,1,23,6,6,
33,6,0,10,15,0,8,
34,4,0,6,18,0,10,
35,6,0,6,22,7,0,
35,9,0,5,24,2,4,
35,3,0,2,29,0,4,
38,2,0,37,1,0,0,
33,2,0,1,32,0,0,
36,3,0,1,27,0,8,
36,3,0,2,28,0,6,
34,3,0,2,26,0,6,
16,3,0,15,1,0,0,
23,3,0,11,12,0,0,
27,4,3,15,9,0,0,
23,4,0,3,20,0,0,
21,7,0,18,3,0,0,
32,3,0,4,28,0,0,
51,11,18,9,14,10,0,
